N° Exp.,Fecha,Estado,Modelo,Matrícula,Daños,Fase,Lat - Lon,Lesiones,Fecha y hora de notificiacion,fecha y hora de arribo,fecha y hora de finalizacion,Provincia,Lugar,tipo Lugar,altura,Oficina,Canal,Fabricante
38233027/18,4/8/2018,en curso,Patan (Acostair),LV-X536,Leves,Aterrizaje,"(-31.21361111111111, -64.16027777777778)",Desconocido,S/D,S/D,S/D,CORDOBA (CBA),Juarez Celman,AD,S/D,S/D,S/D,Acostair
38232230/18,2/8/2018,en curso,MS 1/3 (Peuchot Facil),LV-X637,Ninguno,Crucero,"(None, None)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Navarro,LOC,S/D,S/D,S/D,Peuchot Facil
38238597/18,31/7/2018,en curso,B-95-C55 (Beechcraft),LV-IYC,Ninguno,Crucero,"(-27.410833333333333, -59.33777777777778)",Desconocido,S/D,S/D,S/D,CHACO (CHA),Puerto Tirol,LOC,S/D,S/D,S/D,Beechcraft
35528980/18,23/7/2018,en curso,B-777 (Boeing),N-736AT,Ninguno,Ascenso,"(-33.49916666666667, -58.797777777777775)",Desconocido,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Boeing
33752127/18,16/7/2018,en curso,737-8F2 (Boeing),LV-HQY,De importancia,Despegue,"(-25.737222222222222, -54.373333333333335)",Ninguno,S/D,S/D,S/D,MISIONES (MIS),Puerto Iguazú Carlos E. Krause (SARI),AP,S/D,S/D,S/D,Boeing
37394309/18,12/7/2018,en curso,C-501 (Cessna),LV-CGO,Ninguno,Crucero,"(-32.90361111111111, -60.78444444444444)",Desconocido,S/D,S/D,S/D,SANTA FE (SFE),Islas Malvinas - Rosario (SAAR),AP,S/D,S/D,S/D,Cessna
46673139/18,12/7/2018,en curso,A-36 (Beechcraft),LV-CVL,Ninguno,Rodaje a plataforma,"(-34.455000000000005, -58.59138888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Beechcraft
33990671/18,10/7/2018,en curso,B-737-700 (Boeing),LV-CBF,Ninguno,Despegue,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Boeing
33942091/18,3/7/2018,en curso,E-190 (Embraer),LV-GAQ,Ninguno,Despegue,"(None, None)",Desconocido,S/D,S/D,S/D,MISIONES (MIS),Posadas Gral José de San Martín (SARP),AP,S/D,S/D,S/D,Embraer
33148056/18,1/7/2018,en curso,DP-1 (Aerodipalma),LV-U005,Leves,Aterrizaje,"(-31.574444444444445, -58.44)",Leves,S/D,S/D,S/D,ENTRE RIOS (ERS),San Salvador,ZR,S/D,S/D,S/D,Aerodipalma
29306318/18,16/6/2018,en curso,Monoplaza (Camachui),LV-X227,De importancia,Aterrizaje,"(-31.474166666666665, -60.84444444444445)",Fatales,S/D,S/D,S/D,SANTA FE (SFE),Esperanza,AD,S/D,S/D,S/D,Camachui
34967435/18,16/6/2018,en curso,S/D (Culver Cadet),S/M,Ninguno,Crucero,"(None, None)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Colonia Sager,LOC,S/D,S/D,S/D,Culver Cadet
57083940/20,15/6/2018,en curso,B-737-800 (Boeing),LV-HKZ,Ninguno,Aterrizaje,"(-25.737222222222222, -54.473333333333336)",Ninguno,S/D,S/D,S/D,MISIONES (MIS),Puerto Iguazú Carlos E. Krause (SARI),AP,S/D,S/D,S/D,Boeing
29305931/18,9/6/2018,en curso,PA-38-112 (Piper),LV-OMN,De importancia,Aterrizaje,"(-33.06111111111111, -61.21055555555556)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Casilda,AD,S/D,S/D,S/D,Piper
38286964/19,3/6/2018,en curso,PA-36-300 (Piper),LV-MZT,De importancia,Despegue,"(-33.49583333333334, -63.46222222222222)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),La Carlota,LOC,S/D,S/D,S/D,Piper
25364478/18,21/5/2018,en curso,Astore (Tecnam),LV-S024,Ninguno,Crucero,"(-33.13666666666666, -65.2125)",Ninguno,S/D,S/D,S/D,SAN LUIS (UIS),La Punilla,ZR,S/D,S/D,S/D,Tecnam
33745054/18,15/5/2018,en curso,A-320 (Airbus),LV-BOI,Ninguno,Despegue,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Airbus
23647495/18,14/5/2018,en curso,A-182-J (Cessna),LV-CNC,Ninguno,Crucero,"(-27.45, -59.05611111111111)",Ninguno,S/D,S/D,S/D,CHACO (CHA),Resistencia (SARE),AP,S/D,S/D,S/D,Cessna
22789874/18,12/5/2018,en curso,C-182-B (Cessna),LV-GTI,Leves,Ascenso,"(-31.484722222222224, -64.14166666666668)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Coronel Olmedo,AD,S/D,S/D,S/D,Cessna
20787426/18,30/4/2018,en curso,AT-502-B (Air Tractor),LV-CUH,De importancia,Despegue,"(-24.841944444444444, -64.24222222222222)",Ninguno,S/D,S/D,S/D,SALTA (SAL),Piquete Cabado,LOC,S/D,S/D,S/D,Air Tractor
18938677/18,22/4/2018,en curso,PA-28-151 (Piper),LV-FKO,Destruida,Crucero,"(-42.54194444444444, -64.32305555555556)",Fatales,S/D,S/D,S/D,CHUBUT (CHU),La Adela,EA,S/D,S/D,S/D,Piper
17362676/18,16/4/2018,en curso,C-150-G (Cessna),LV-CQT,Destruida,Aproximación,"(-34.68888888888888, -59.032222222222224)",Graves,S/D,S/D,S/D,BUENOS AIRES (BUE),General Rodríguez,AD,S/D,S/D,S/D,Cessna
46146920/18,15/4/2018,en curso,PA-34-200T (Piper),LV-LII,Ninguno,Ascenso,"(None, None)",Desconocido,S/D,S/D,S/D,BUENOS AIRES (BUE),Mar del Plata,LOC,S/D,S/D,S/D,Piper
11733544/19,10/4/2018,en curso,B-58 (Beechcraft),N6926Z,Destruida,Crucero,"(-26.66444444444444, -65.01388888888889)",Fatales,S/D,S/D,S/D,TUCUMAN (TUC),Radial 030 del VOR Tucuman,ZR,S/D,S/D,S/D,Beechcraft
15682153/18,8/4/2018,en curso,PA-34-200T (Piper),LV-GZK,Destruida,Crucero,"(-36.05972222222222, -63.38527777777778)",Fatales,S/D,S/D,S/D,LA PAMPA (LPA),Quemu Quemu,LOC,S/D,S/D,S/D,Piper
15071643/18,5/4/2018,en curso,PA-A-28-180 (Piper),LV-LNA,De importancia,Aterrizaje,"(-38.94888888888889, -68.15583333333333)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),Juan Domingo Perón - Neuquén (SAZN),AP,S/D,S/D,S/D,Piper
15071247/18,1/4/2018,en curso,PA-28-200R (Piper),LV-LIF,De importancia,Aterrizaje,"(-35.493611111111115, -69.57416666666666)",Ninguno,S/D,S/D,S/D,MENDOZA (DOZ),Malargue,AD,S/D,S/D,S/D,Piper
15070723/18,31/3/2018,en curso,G-164-A (Grumman),LV-CSU,De importancia,Aterrizaje,"(-35.19194444444444, -63.61027777777778)",Ninguno,S/D,S/D,S/D,LA PAMPA (LPA),Azcarate Irastorsa S.A - Int. Alvear,AD,S/D,S/D,S/D,Grumman
15070242/18,30/3/2018,en curso,PA-11 (Piper),LV-NDS,De importancia,Rodaje a plataforma,"(-35.21083333333333, -59.13666666666666)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Lobos,AD,S/D,S/D,S/D,Piper
13937178/18,25/3/2018,en curso,E-190 (Embraer),LV-FPT,Leves,Aterrizaje,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Embraer
13938066/18,24/3/2018,en curso,PA-22-108 (Piper),LV-IAW,De importancia,Estacionado,"(-45.78527777777778, -67.46555555555555)",Ninguno,S/D,S/D,S/D,CHUBUT (CHU),General Enrique Mosconi - Com Rivadavia (SAVC),AP,S/D,S/D,S/D,Piper
42377001/19,23/3/2018,en curso,C-182 (Cessna),LV-GMG,De importancia,Crucero,"(-30.7025, -68.34277777777777)",Ninguno,S/D,S/D,S/D,MENDOZA (DOZ),San Rafael,LOC,S/D,S/D,S/D,Cessna
12884934/18,20/3/2018,en curso,BIPLAZA (Long Ez),LV-X383,Leves,Crucero,"(-34.419444444444444, -58.63)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Nordelta - radial 320 de San Fernando,EXT,S/D,S/D,S/D,Long Ez
12201939/18,20/3/2018,en curso,E-190 (Embraer),LV-CHR,Ninguno,Crucero,"(-27.385833333333334, -55.970555555555556)",Ninguno,S/D,S/D,S/D,MISIONES (MIS),Posadas Gral José de San Martín (SARP),AP,S/D,S/D,S/D,Embraer
11265678/18,9/3/2018,en curso,A-320 (Airbus),LV-BFO,Ninguno,Ascenso,"(-34.82222222222222, -58.53583333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Airbus
19497486/19,7/3/2018,en curso,MD-83 (Mc Donnell Douglas),LV-BEG,Ninguno,Crucero,"(-26.840833333333332, -65.10472222222222)",Ninguno,S/D,S/D,S/D,TUCUMAN (TUC),Tucumán,AP,S/D,S/D,S/D,Mc Donnell Douglas
12372021/18,2/3/2018,en curso,PA-A-38-112 (Piper),LV-MRG,Ninguno,Crucero,"(-32.535, -64.03)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Paraje Las Peñas Sud,ZR,S/D,S/D,S/D,Piper
9588142/18,1/3/2018,en curso,PETREL 912 (Aeroitba),LV-FWL,Leves,Despegue,"(-32.95861111111111, -68.87027777777777)",Ninguno,S/D,S/D,S/D,MENDOZA (DOZ),La Puntilla,AD,S/D,S/D,S/D,Aeroitba
9478546/18,25/2/2018,en curso,PETREL 912 (Aeroitba),LV-FUY,De importancia,Ascenso,"(-39.266666666666666, -68.81666666666666)",Leves,S/D,S/D,S/D,NEUQUEN (NEU),Villa El Chocón,LOC,S/D,S/D,S/D,Aeroitba
8561618/18,22/2/2018,en curso,PA-25-235 (Piper),LV-JRY,De importancia,Aproximación,"(-33.51305555555555, -60.97083333333334)",Graves,S/D,S/D,S/D,SANTA FE (SFE),Máximo Paz,ZR,S/D,S/D,S/D,Piper
8417989/18,20/2/2018,en curso,PA-A-34-200-T (Piper),LV-MPO,Ninguno,Crucero,"(-32.90361111111111, -60.78666666666666)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Islas Malvinas - Rosario (SAAR),AP,S/D,S/D,S/D,Piper
8007193/18,18/2/2018,en curso,152-II (Cessna),LV-AMI,Ninguno,Crucero,"(-34.846111111111114, -58.965833333333336)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Villars,LOC,S/D,S/D,S/D,Cessna
46145899/18,18/2/2018,en curso,CL-215 (Bombardier),CX-LVA,Ninguno,Ascenso,"(None, None)",Desconocido,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Bombardier
7588355/18,15/2/2018,en curso,M-18-B (Pzl),LV-GWD,De importancia,Aterrizaje,"(-30.753611111111113, -58.0)",Ninguno,S/D,S/D,S/D,ENTRE RIOS (ERS),Chajari,AD,S/D,S/D,S/D,Pzl
7587777/18,14/2/2018,en curso,AT-401-B (Air Tractor),LV-WTL,Leves,Crucero,"(-27.081944444444446, -58.79333333333333)",Ninguno,S/D,S/D,S/D,CHACO (CHA),Las Palmas,ZR,S/D,S/D,S/D,Air Tractor
12072098/19,7/2/2018,en curso,NAV-4 (Navion),LV-YYL,Leves,Aterrizaje,"(-33.077222222222225, -60.5675)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Círculo de Aviación Rosario,AD,S/D,S/D,S/D,Navion
6400150/18,7/2/2018,en curso,CH-12 (Cicare),LV-X658,De importancia,Crucero,"(-35.609722222222224, -59.81638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),SALADILLO,AD,S/D,S/D,S/D,Cicare
6561449/18,3/2/2018,en curso,IS-28-B2 (Iar),LV-DLS,Leves,Aterrizaje,"(-31.47, -60.847500000000004)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Esperanza,AD,S/D,S/D,S/D,Iar
5285132/18,29/1/2018,en curso,E-190 (Embraer),LV-CID,Leves,Rodaje salida,"(-37.939722222222215, -57.56388888888888)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Astor Piazola (SAZM),AP,S/D,S/D,S/D,Embraer
5288548/18,27/1/2018,en curso,MD-83 (Mc Donnell Douglas),LV-BEG,Leves,Crucero,"(-31.310000000000002, -64.20833333333334)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Ingeniero Taravella - Córdoba (SACO),AP,S/D,S/D,S/D,Mc Donnell Douglas
4642822/18,22/1/2018,en curso,B-737-800 (Boeing),LV-HKS,Ninguno,Crucero,"(-31.310000000000002, -64.20833333333334)",Desconocido,S/D,S/D,S/D,CORDOBA (CBA),Ingeniero Taravella - Córdoba (SACO),AP,S/D,S/D,S/D,Boeing
46147915/18,17/1/2018,en curso,B-737-800 (Boeing),LV-GUC,Ninguno,Aproximación,"(-58.41555555555556, -34.55916666666666)",Desconocido,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Boeing
42376291/19,14/1/2018,en curso,C-150-F (Cessna),LV-FKX,Leves,Aterrizaje,"(-32.38444444444444, -65.18583333333333)",Ninguno,S/D,S/D,S/D,SAN LUIS (UIS),Valle de Conlara,AP,S/D,S/D,S/D,Cessna
3045844/18,14/1/2018,en curso,CS 11-75 L (Schempp Hirth),LV-DLI,Leves,Ascenso,"(-31.603055555555557, -68.54722222222222)",Ninguno,S/D,S/D,S/D,SAN JUAN (JUA),SAN JUAN,AD,S/D,S/D,S/D,Schempp Hirth
2599541/18,10/1/2018,en curso,620-A (Weatherly),LV-ZRI,De importancia,Ascenso,"(-30.398611111111112, -59.943888888888885)",Leves,S/D,S/D,S/D,SANTA FE (SFE),San Javier,ZR,S/D,S/D,S/D,Weatherly
3044310/18,4/1/2018,en curso,G-164-A (Grumman),LV-ZMA,De importancia,Ascenso,"(-30.311944444444446, -58.41583333333333)",Ninguno,S/D,S/D,S/D,ENTRE RIOS (ERS),San Jaime de la Frontera,ZR,S/D,S/D,S/D,Grumman
7350021/19,3/1/2018,en curso,152-II (Cessna),LV-OJF,Leves,Aterrizaje,"(-33.046388888888885, -60.596944444444446)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Islas Malvinas - Rosario (SAAR),AP,S/D,S/D,S/D,Cessna
1224071/18,31/12/2017,en curso,Kruk (Pzl),S/D,De importancia,Crucero,"(-26.712777777777777, -61.946666666666665)",Ninguno,S/D,S/D,S/D,SANTIAGO DEL ESTERO (SDE),Sachayoj,ZR,S/D,S/D,S/D,Pzl
335069/17,20/12/2017,en curso,PA-38-112 (Piper),LV-OMC,De importancia,Despegue,"(-31.483055555555556, -64.13555555555556)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Coronel Olmedo,AD,S/D,S/D,S/D,Piper
333823/17,16/12/2017,en curso,PA-A-28-180 (Piper),LV-LWM,Leves,Aterrizaje,"(-31.30527777777778, -58.01583333333333)",Ninguno,S/D,S/D,S/D,ENTRE RIOS (ERS),Concordia,AD,S/D,S/D,S/D,Piper
333050/17,13/12/2017,en curso,AT-502-B (Air Tractor),LV-ZZX,De importancia,Maniobras,"(-33.322500000000005, -68.33055555555555)",Fatales,S/D,S/D,S/D,MENDOZA (DOZ),DPTO. RIVADAVIA,ZR,S/D,S/D,S/D,Air Tractor
331422/17,9/12/2017,en curso,AT-502-B (Air Tractor),LV-BCX,De importancia,Despegue,"(-33.782222222222224, -66.06166666666667)",Ninguno,S/D,S/D,S/D,SAN LUIS (UIS),GRAL. PEDERNERA,LOC,S/D,S/D,S/D,Air Tractor
331174/17,8/12/2017,en curso,C-150-M (Cessna),LV-CVN,De importancia,Ascenso,"(-32.18333333333333, -64.49111111111111)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Villa Rumipal,ZR,S/D,S/D,S/D,Cessna
331171/17,7/12/2017,en curso,F-SA-227-AC-METRO III (Fairchild),LV-BGH,De importancia,Despegue,"(-34.455000000000005, -58.59138888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Fairchild
332537/17,5/12/2017,en curso,C-150-L (Cessna),LV-CGU,Ninguno,Crucero,"(-34.742222222222225, -58.723055555555554)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Pontevedra,ZR,S/D,S/D,S/D,Cessna
331108/17,4/12/2017,en curso,A-182-J (Cessna),LV-IPT,De importancia,Maniobras,"(-34.08444444444444, -60.06472222222222)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Arrecifes,ZR,S/D,S/D,S/D,Cessna
331170/17,4/12/2017,en curso,LJ-35 (Learjet),LV-BAW,Ninguno,Despegue,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Learjet
335067/17,3/12/2017,en curso,A-188-B (Cessna),LV-LBI,De importancia,Rodaje salida,"(-27.624166666666667, -61.345)",Ninguno,S/D,S/D,S/D,CHACO (CHA),Hermoso Campo,ZR,S/D,S/D,S/D,Cessna
331107/17,29/11/2017,en curso,E-190 (Embraer),LV-CET,Leves,Crucero,"(None, None)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),En vuelo,LOC,S/D,S/D,S/D,Embraer
329092/17,26/11/2017,en curso,E-190 (Embraer),LV-FPS,Leves,Rodaje salida,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Embraer
326231/17,14/11/2017,en curso,A-182-K (Cessna),LV-JBH,Destruida,Ascenso,"(-22.25861111111111, -64.7388888888889)",Fatales,S/D,S/D,S/D,SALTA (SAL),Parque Nacional Baritú - Los Toldos,EXT,S/D,S/D,S/D,Cessna
326213/17,13/11/2017,en curso,PA-24-250 (Piper),LV-GOW,De importancia,Aterrizaje,"(-33.67611111111111, -61.9525)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Venado Tuerto,AD,S/D,S/D,S/D,Piper
325990/17,11/11/2017,en curso,B-737-800 (Boeing),LV-GKS,Leves,Aproximación,"(-34.54888888888889, -58.43472222222222)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Boeing
325373/17,5/11/2017,en curso,PA-A-25-235 (Piper),LV-ATI,Destruida,Maniobras,"(-37.53916666666667, -63.74166666666667)",Ninguno,S/D,S/D,S/D,LA PAMPA (LPA),Guatraché,ZR,S/D,S/D,S/D,Piper
322554/17,31/10/2017,en curso,B-35 (Beechcraft),LV-GRQ,De importancia,Aterrizaje,"(-34.455000000000005, -58.59138888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Beechcraft
322412/17,27/10/2017,en curso,A-150-L (Cessna),LV-LFD,Destruida,Crucero,"(-31.45583333333333, -60.87166666666667)",Fatales,S/D,S/D,S/D,SANTA FE (SFE),Esperanza,ZR,S/D,S/D,S/D,Cessna
318789/17,16/10/2017,en curso,P-2002 (Tecnam),LV-GPQ,De importancia,Rodaje salida,"(-34.969166666666666, -57.893055555555556)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),La Plata,AD,S/D,S/D,S/D,Tecnam
318791/17,14/10/2017,en curso,AA-1 (Grumman),LV-BZW,De importancia,Aterrizaje,"(-34.67916666666667, -58.64361111111111)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Morón,AP,S/D,S/D,S/D,Grumman
318790/17,13/10/2017,en curso,CH-8 (Cicare),LV-X624,De importancia,Maniobras,"(-35.602222222222224, -59.81527777777777)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),SALADILLO,AD,S/D,S/D,S/D,Cicare
317343/17,11/10/2017,en curso,PA-32 (Piper),LV-IOL,Destruida,Aproximación,"(-30.834166666666665, -61.57805555555556)",Fatales,S/D,S/D,S/D,SANTA FE (SFE),Tacural,ZR,S/D,S/D,S/D,Piper
313271/17,25/9/2017,en curso,601-P (Aerostar),LV-MDE,De importancia,Despegue,"(-34.166666666666664, -63.36222222222222)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),"Establecimiento ""La Mirada"" - Laboulaye",ZR,S/D,S/D,S/D,Aerostar
312396/17,23/9/2017,en curso,S-6-ES (Rans & Co),LV-X278,De importancia,Despegue,"(-32.03638888888889, -61.17777777777778)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Gálvez,AD,S/D,S/D,S/D,Rans & Co
312414/17,22/9/2017,en curso,C-150-M (Cessna),LV-CLH,Ninguno,Estacionado,"(-34.66638888888889, -58.643055555555556)",Graves,S/D,S/D,S/D,BUENOS AIRES (BUE),Morón,AP,S/D,S/D,S/D,Cessna
308982/17,5/9/2017,en curso,C-172-N (Cessna),LV-COB,Ninguno,Crucero,"(-32.43444444444444, -65.16305555555556)",Ninguno,S/D,S/D,S/D,SAN LUIS (UIS),Valle de Conlara,ZR,S/D,S/D,S/D,Cessna
309381/17,4/9/2017,en curso,PA-A-28 (Piper),LV-IGX,De importancia,Crucero,"(-46.22694444444445, -67.61861111111111)",Desconocido,S/D,S/D,S/D,SANTA CRUZ (SCZ),Caleta Olivia,ZR,S/D,S/D,S/D,Piper
306406/17,1/9/2017,en curso,PA-38-112 (Piper),LV-OIC,Ninguno,Crucero,"(-32.79472222222222, -61.32222222222222)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Cañada de Gómez,ZR,S/D,S/D,S/D,Piper
306408/17,1/9/2017,en curso,182 G (Cessna),LV-HIP,Ninguno,Aproximación,"(-23.15222222222222, -64.3286111111111)",Ninguno,S/D,S/D,S/D,SALTA (SAL),Orán,AD,S/D,S/D,S/D,Cessna
304571/17,29/8/2017,en curso,A-320 (Airbus),LV-BSJ,Leves,Crucero,"(-34.55888888888889, -58.41638888888889)",Desconocido,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Airbus
305189/17,27/8/2017,en curso,Link (Mario Hugo D'Amico),LV-UX033,Destruida,Crucero,"(-35.85666666666667, -61.907222222222224)",Fatales,S/D,S/D,S/D,BUENOS AIRES (BUE),Pehuajó,LOC,S/D,S/D,S/D,Mario Hugo D'Amico
302472/17,19/8/2017,en curso,C-172 (Cessna),LV-CXF,Leves,Rodaje salida,"(-38.958333333333336, -67.80277777777778)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),Aeroclub Allen,AC,S/D,S/D,S/D,Cessna
302465/17,17/8/2017,en curso,LJ-45 (Learjet),LV-GVX,Leves,Aterrizaje,"(-34.55888888888889, -58.41638888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Aeroparque Jorge Newbery (SABE),AP,S/D,S/D,S/D,Learjet
302468/17,17/8/2017,en curso,PA-11-C (Piper),LV-NJO,De importancia,Despegue,"(-31.485277777777778, -64.1388888888889)",Desconocido,S/D,S/D,S/D,CORDOBA (CBA),Coronel Olmedo,AD,S/D,S/D,S/D,Piper
299447/17,4/8/2017,en curso,C-152 (Cessna),LV-CMN,Leves,Aterrizaje,"(-27.375555555555557, -55.970555555555556)",Ninguno,S/D,S/D,S/D,MISIONES (MIS),Posadas Gral José de San Martín (SARP),AP,S/D,S/D,S/D,Cessna
291226/17,29/7/2017,en curso,M-18-A (Pzl),LV-FIK,Leves,Aterrizaje,"(-27.903333333333332, -55.76555555555556)",Ninguno,S/D,S/D,S/D,MISIONES (MIS),Apóstoles,AD,S/D,S/D,S/D,Pzl
280753/17,24/7/2017,en curso,MU-2 B-26A (Mitsubishi),LV-MCV,Destruida,Crucero,"(-34.016666666666666, -58.56666666666667)",Fatales,S/D,S/D,S/D,ENTRE RIOS (ERS),Confluencia Río Paraná Guazú y Río Barca Grande,ZR,S/D,S/D,S/D,Mitsubishi
266335/17,17/7/2017,en curso,B-200 (Beechcraft),LV-ZTV,De importancia,Aterrizaje,"(-41.151111111111106, -71.15777777777778)",Ninguno,S/D,S/D,S/D,RIO NEGRO (RNG),Bariloche,AP,S/D,S/D,S/D,Beechcraft
251629/17,5/7/2017,en curso,B-737-800 (Boeing),LV-GKT,Leves,Rodaje a plataforma,"(-40.07527777777778, -71.13722222222223)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),Chapelco - San Martin (SAZY),AP,S/D,S/D,S/D,Boeing
253648/17,4/7/2017,en curso,C-152 (Cessna),LV-CGF,De importancia,Aterrizaje,"(-34.63944444444444, -59.455555555555556)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Mercedes,AD,S/D,S/D,S/D,Cessna
247480/17,1/7/2017,en curso,IAe 46 SUPER RANQUEL (Dinfia),LV-HMA,De importancia,Ascenso,"(-34.112500000000004, -59.08083333333334)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Zarate,LOC,S/D,S/D,S/D,Dinfia
247475/17,1/7/2017,en curso,P-2002 (Tecnam),LV-S043,De importancia,Aterrizaje,"(-31.966666666666665, -64.56388888888888)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Villa Gral. Belgrano,AD,S/D,S/D,S/D,Tecnam
243384/17,27/7/2017,en curso,C-150 (Cessna),LV-CWX,Leves,Aterrizaje,"(-38.94888888888889, -68.15583333333333)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),Juan Domingo Perón - Neuquén (SAZN),AP,S/D,S/D,S/D,Cessna
243390/17,24/6/2017,en curso,C-180-A (Cessna),LV-ZKI,Leves,Aterrizaje,"(-27.26638888888889, -61.198055555555555)",Ninguno,S/D,S/D,S/D,CHACO (CHA),Charata,LOC,S/D,S/D,S/D,Cessna
223303/17,14/6/2017,en curso,PA-23-250 (Piper),LV-LEU,Destruida,Ascenso,"(-24.404999999999998, -65.08611111111111)",Ninguno,S/D,S/D,S/D,JUJUY (JUJ),Gobernador Guzman,AP,S/D,S/D,S/D,Piper
219960/17,10/6/2017,en curso,PA-A-32-R300 (Piper),LV-MSC,De importancia,Aterrizaje,"(-36.58916666666667, -64.27555555555556)",Ninguno,S/D,S/D,S/D,LA PAMPA (LPA),Santa Rosa (SAZR),AD,S/D,S/D,S/D,Piper
219902/17,9/6/2017,en curso,C-180 (Cessna),LV-FHD,De importancia,Aterrizaje,"(-31.653055555555554, -64.39361111111111)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Alta Gracia,AD,S/D,S/D,S/D,Cessna
204360/17,4/6/2017,en curso,L-13 (Blanik),LV-ENS,De importancia,Aproximación,"(-34.11666666666667, -59.075)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Zarate,LOC,S/D,S/D,S/D,Blanik
212759/17,4/6/2017,en curso,PA-38-112 (Piper),LV-MYR,De importancia,Aterrizaje,"(-30.991944444444446, -64.07694444444444)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Jesus Maria,AD,S/D,S/D,S/D,Piper
