N° Exp.,Fecha,Estado,Modelo,Matrícula,Daños,Fase,Lat - Lon,Lesiones,Fecha y hora de notificiacion,fecha y hora de arribo,fecha y hora de finalizacion,Provincia,Lugar,tipo Lugar,altura,Oficina,Canal,Fabricante
2364091,19/5/2005,en curso,PA-28R-201T (Piper),LV-MID,De importancia,Ascenso,"(-38.983333333333334, -67.6)",Ninguno,S/D,S/D,S/D,RIO NEGRO (RNG),General Roca,AD,S/D,S/D,S/D,Piper
2364094,16/5/2005,en curso,BE-65-A-80-8800 (Beechcraft),CC-CFS,Destruida,Crucero,"(-46.07833333333333, -71.66666666666667)",Fatales,S/D,S/D,S/D,SANTA CRUZ (SCZ),Guenguel,LOC,S/D,S/D,S/D,Beechcraft
2364088,12/5/2005,en curso,DG-100-G (Glaser Dirks),LV-DRV,Destruida,Aproximación,"(-33.16694444444444, -64.33333333333333)",Graves,S/D,S/D,S/D,CORDOBA (CBA),Río Cuarto,LOC,S/D,S/D,S/D,Glaser Dirks
2364084,8/5/2005,en curso,PA-31 (Piper),LV-LXO,Destruida,Aproximación,"(-31.3, -64.2)",Fatales,S/D,S/D,S/D,CORDOBA (CBA),Ingeniero Taravella - Córdoba (SACO),AP,S/D,S/D,S/D,Piper
2364080,23/4/2005,en curso,MD-11 (Mc Donnell Douglas),PP-VQG,Leves,Aterrizaje,"(-34.82222222222222, -58.53583333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Mc Donnell Douglas
2364075,23/4/2005,en curso,C-152 (Cessna),LV-WSI,De importancia,Crucero,"(-33.69333333333333, -59.200833333333335)",Ninguno,S/D,S/D,S/D,ENTRE RIOS (ERS),"Don Enrique, Ibicuy",EA,S/D,S/D,S/D,Cessna
2364072,13/4/2005,en curso,B-737-800 (Boeing),PP-VSB,Leves,Despegue,"(-34.81666666666667, -58.53333333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Boeing
2364082,12/4/2005,en curso,B-737 (Boeing),LV-ZTI,Leves,Aterrizaje,"(-45.78527777777778, -67.46555555555555)",Ninguno,S/D,S/D,S/D,CHUBUT (CHU),General Enrique Mosconi - Com Rivadavia (SAVC),AP,S/D,S/D,S/D,Boeing
2364069,9/4/2005,en curso,C-414-A (Cessna),LV-BRH,De importancia,Aproximación,"(-34.2, -59.733333333333334)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Capitán Sarmiento/Quebracho Herrado,AD,S/D,S/D,S/D,Cessna
2364066,3/4/2005,en curso,PA-12 (Piper),LV-YHL,De importancia,Aterrizaje,"(-29.486944444444447, -59.76611111111111)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Romang,LOC,S/D,S/D,S/D,Piper
2364062,22/3/2005,en curso,A-150-L (Cessna),LV-LBV,De importancia,Estacionado,"(-34.45583333333334, -59.65083333333333)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Cessna
2364061,19/3/2005,en curso,PA-38-112 (Piper),LV-OJL,De importancia,Crucero,"(-33.022777777777776, -69.19916666666667)",Ninguno,S/D,S/D,S/D,MENDOZA (DOZ),Potrerillos,ZR,S/D,S/D,S/D,Piper
2364063,15/3/2005,en curso,B-767-322 (Boeing),N-656UA,Leves,Despegue,"(-34.81666666666667, -58.55)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Boeing
2364057,14/3/2005,en curso,PA-12 (Piper),LV-NPY,De importancia,Crucero,"(-36.06666666666667, -59.1)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Las Flores,AD,S/D,S/D,S/D,Piper
2364054,11/3/2005,en curso,B-777 (Boeing),N-790AN,Leves,Despegue,"(-34.81666666666667, -58.55)",Leves,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Boeing
2364055,11/3/2005,en curso,PA-11 (Piper),LV-YOJ,Leves,Rodaje salida,"(-34.45583333333334, -59.58416666666667)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,AP,S/D,S/D,S/D,Piper
2364052,28/2/2005,en curso,C-172 (Cessna),LV-FXA,De importancia,Rodaje salida,"(-38.94555555555555, -68.17027777777778)",Ninguno,S/D,S/D,S/D,NEUQUEN (NEU),Juan Domingo Perón - Neuquén (SAZN),AP,S/D,S/D,S/D,Cessna
2364051,27/2/2005,en curso,PA-11 (Piper),LV-YMD,Destruida,Crucero,"(-35.13333333333333, -62.21666666666667)",Fatales,S/D,S/D,S/D,BUENOS AIRES (BUE),Luis Pasteur,LOC,S/D,S/D,S/D,Piper
2364045,26/2/2005,en curso,AB-180 (Aero Boero),LV-LJL,De importancia,Crucero,"(-33.083333333333336, -61.2)",Graves,S/D,S/D,S/D,SANTA FE (SFE),Casilda,ZR,S/D,S/D,S/D,Aero Boero
2364050,26/2/2005,en curso,A-188-B (Cessna),LV-WYP,De importancia,Crucero,"(-31.416666666666668, -62.983333333333334)",Fatales,S/D,S/D,S/D,CORDOBA (CBA),El Fuertecito,LOC,S/D,S/D,S/D,Cessna
2364053,25/2/2005,en curso,AT-402-A (Air Tractor),LV-ZJZ,De importancia,Despegue,"(-33.88333333333333, -63.083333333333336)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Estancia Las Palmas - Viamonte,ZR,S/D,S/D,S/D,Air Tractor
2364043,24/2/2005,en curso,AG-188 (Cessna),LV-MED,De importancia,Crucero,"(-30.766666666666666, -60.56666666666667)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),San Justo,ZR,S/D,S/D,S/D,Cessna
2364042,20/2/2005,en curso,Airaile (Rans & Co),LV-X294,Destruida,Crucero,"(-27.6, -55.85)",Fatales,S/D,S/D,S/D,MISIONES (MIS),Parada Lais-Pto.Capital 26 Km al S de Posadas,LOC,S/D,S/D,S/D,Rans & Co
2364041,19/2/2005,en curso,PA-11 (Piper),LV-YLX,De importancia,Aterrizaje,"(-31.761111111111113, -61.13138888888889)",Leves,S/D,S/D,S/D,SANTA FE (SFE),San Carlos Sur,LOC,S/D,S/D,S/D,Piper
2364040,16/2/2005,en curso,PA-36-300 (Piper),LV-ZZS,De importancia,Crucero,"(-30.783333333333335, -59.6)",Ninguno,S/D,S/D,S/D,ENTRE RIOS (ERS),Establecimiento Doña Inés- La Paz,EA,S/D,S/D,S/D,Piper
2364037,15/2/2005,en curso,PA-25-235 (Piper),LV-OPB,Destruida,Crucero,"(-35.97138888888889, -62.806666666666665)",Fatales,S/D,S/D,S/D,BUENOS AIRES (BUE),Trenque Lauquen,LOC,S/D,S/D,S/D,Piper
2364035,9/2/2005,en curso,C-180 (Cessna),LV-GLY,Leves,Despegue,"(-32.016666666666666, -61.166666666666664)",Ninguno,S/D,S/D,S/D,SANTA FE (SFE),Gálvez,AD,S/D,S/D,S/D,Cessna
2364032,7/2/2005,en curso,C-340 (Cessna),N-5790M,Destruida,Descenso,"(-34.280277777777776, -68.97222222222223)",Fatales,S/D,S/D,S/D,MENDOZA (DOZ),Las Pareditas,ZR,S/D,S/D,S/D,Cessna
